Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,Room,onUseBlock,Long Statement,The length of the statement "secretWaypoints.column(pos).values().stream().filter(SecretWaypoint::needsInteraction).findAny().ifPresent(secretWaypoint -> markSecretsFoundAndLogInfo(secretWaypoint`"[Skyblocker Dungeon Secrets] Detected {} interaction` setting secret #{} as found"`secretWaypoint.category`secretWaypoint.secretIndex));" is 304.,578
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,Room,onUseBlock,Magic Number,The method contains a magic number: 1000,578
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,Room,onItemPickup,Long Statement,The length of the statement "secretWaypoints.values().stream().filter(SecretWaypoint::needsItemPickup).min(Comparator.comparingDouble(SecretWaypoint.getSquaredDistanceToFunction(itemEntity))).filter(SecretWaypoint.getRangePredicate(itemEntity)).ifPresent(secretWaypoint -> markSecretsFoundAndLogInfo(secretWaypoint`"[Skyblocker Dungeon Secrets] Detected item {} removed from a {} secret` setting secret #{} as found"`itemEntity.getName().getString()`secretWaypoint.category`secretWaypoint.secretIndex));" is 474.,600
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,Room,onBatRemoved,Long Statement,The length of the statement "secretWaypoints.values().stream().filter(SecretWaypoint::isBat).min(Comparator.comparingDouble(SecretWaypoint.getSquaredDistanceToFunction(bat))).ifPresent(secretWaypoint -> markSecretsFoundAndLogInfo(secretWaypoint`"[Skyblocker Dungeon Secrets] Detected {} killed for a {} secret` setting secret #{} as found"`bat.getName().getString()`secretWaypoint.category`secretWaypoint.secretIndex));" is 390.,614
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,SecretsTracker,sendResultMessage,Long Statement,The length of the statement "playerEntity.sendMessage(Constants.PREFIX.get().append(Text.translatable("skyblocker.dungeons.secretsTracker.feedback"`Text.literal(player).withColor(0xf57542)`"§7" + secretData.secrets()`getCacheText(secretData.cached()`secretData.cacheAge()))));" is 247.,101
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,SecretsTracker,sendResultMessage,Long Statement,The length of the statement "playerEntity.sendMessage(Constants.PREFIX.get().append(Text.translatable("skyblocker.dungeons.secretsTracker.failFeedback")));" is 126.,101
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,SecretsTracker,sendResultMessage,Magic Number,The method contains a magic number: 0xf57542,101
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,SecretsTracker,getCacheText,Long Statement,The length of the statement "return Text.literal("\u2139").styled(style -> style.withColor(cached ? 0xeac864 : 0x218bff).withHoverEvent(new HoverEvent(HoverEvent.Action.SHOW_TEXT`cached ? Text.translatable("skyblocker.api.cache.HIT"`cacheAge) : Text.translatable("skyblocker.api.cache.MISS"))));" is 266.,113
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,SecretsTracker,getCacheText,Magic Number,The method contains a magic number: 0xeac864,113
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,SecretsTracker,getCacheText,Magic Number,The method contains a magic number: 0x218bff,113
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,SecretsTracker,onMessage,Complex Conditional,The conditional expression Utils.isInDungeons() && SkyblockerConfigManager.get().dungeons.playerSecretsTracker && !overlay is complex.,118
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,SecretsTracker,getPlayerNameAt,Magic Number,The method contains a magic number: 4,131
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,SecretsTracker,getPlayerSecrets,Long Statement,The length of the statement "return new SecretData(getSecretCountFromAchievements(JsonParser.parseString(response.content()).getAsJsonObject())`response.cached()`response.age());" is 149.,137
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,SecretsTracker,getSecretCountFromAchievements,Long Statement,The length of the statement "return (achievements != null && achievements.has("skyblock_treasure_hunter")) ? achievements.get("skyblock_treasure_hunter").getAsInt() : 0;" is 140.,151
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,SecretWaypoint,getRangePredicate,Magic Number,The method contains a magic number: 36D,65
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,SecretWaypoint,equals,Long Statement,The length of the statement "return super.equals(obj) || obj instanceof SecretWaypoint && secretIndex == other.secretIndex && category == other.category && name.equals(other.name) && pos.equals(other.pos);" is 176.,90
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,SecretWaypoint,render,Long Statement,The length of the statement "RenderHelper.renderText(context`Text.literal(Math.round(distance) + "m").formatted(Formatting.YELLOW)`posUp`1`MinecraftClient.getInstance().textRenderer.fontHeight + 1`true);" is 174.,100
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,SecretWaypoint,Category,Magic Number,The method contains a magic number: 255F,138
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,SecretWaypoint,get,Long Statement,The length of the statement "return CODEC.parse(JsonOps.INSTANCE`waypointJson.get("category")).resultOrPartial(LOGGER::error).orElse(Category.DEFAULT);" is 122.,147
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getColor,Complex Conditional,The conditional expression x < 0 || z < 0 || x >= 128 || z >= 128 is complex.,32
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getColor,Magic Number,The method contains a magic number: 128,32
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getColor,Magic Number,The method contains a magic number: 128,32
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getColor,Magic Number,The method contains a magic number: 7,32
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getMapPlayerPos,Magic Number,The method contains a magic number: 64,47
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getMapPlayerPos,Magic Number,The method contains a magic number: 64,47
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getMapEntrancePosAndRoomSize,Complex Method,Cyclomatic complexity of the method is 9,57
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getMapEntrancePosAndRoomSize,Magic Number,The method contains a magic number: 10,57
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getMapEntrancePosAndRoomSize,Magic Number,The method contains a magic number: 10,57
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getMapEntrancePosAndRoomSize,Magic Number,The method contains a magic number: 10,57
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getMapEntrancePosAndRoomSize,Magic Number,The method contains a magic number: 10,57
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getMapRoomSize,Magic Number,The method contains a magic number: 5,106
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getMapRoomPos,Long Statement,The length of the statement "return mapPos.add(2`2).sub(offset).sub(Math.floorMod(mapPos.x()`mapRoomSizeWithGap)`Math.floorMod(mapPos.y()`mapRoomSizeWithGap)).add(offset);" is 142.,114
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getMapRoomPos,Magic Number,The method contains a magic number: 4,114
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getMapRoomPos,Magic Number,The method contains a magic number: 2,114
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getMapRoomPos,Magic Number,The method contains a magic number: 2,114
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getMapPosFromPhysical,Magic Number,The method contains a magic number: 32,137
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getMapPosFromPhysical,Magic Number,The method contains a magic number: 4,137
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getPhysicalRoomPos,Magic Number,The method contains a magic number: 8.5,166
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getPhysicalRoomPos,Magic Number,The method contains a magic number: 8.5,166
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getPhysicalRoomPos,Magic Number,The method contains a magic number: 32,166
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getPhysicalRoomPos,Magic Number,The method contains a magic number: 32,166
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getPhysicalRoomPos,Magic Number,The method contains a magic number: 8,166
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getPhysicalRoomPos,Magic Number,The method contains a magic number: 8,166
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getPhysicalPosFromMap,Magic Number,The method contains a magic number: 4,189
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getPhysicalPosFromMap,Magic Number,The method contains a magic number: 32,189
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,relativeToActual,Long Statement,The length of the statement "return relativeToActual(direction`physicalCornerPos`new BlockPos(posJson.get("x").getAsInt()`posJson.get("y").getAsInt()`posJson.get("z").getAsInt()));" is 151.,220
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getRoomSegments,Magic Number,The method contains a magic number: 3,247
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getRoomSegments,Magic Number,The method contains a magic number: 3,247
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getRoomSegments,Magic Number,The method contains a magic number: 4,247
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,getRoomSegments,Magic Number,The method contains a magic number: 4,247
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,hasWitherOrBloodDoor,Long Statement,The length of the statement "return isWitherOrBloodDoor(world`doorPos.set(pos.x() + 1`72`pos.y() + 17)) || isWitherOrBloodDoor(world`doorPos.set(pos.x() + 17`72`pos.y() + 1)) || isWitherOrBloodDoor(world`doorPos.set(pos.x() + 17`72`pos.y() + 33))|| isWitherOrBloodDoor(world`doorPos.set(pos.x() + 33`72`pos.y() + 17));" is 289.,289
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,hasWitherOrBloodDoor,Magic Number,The method contains a magic number: 72,289
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,hasWitherOrBloodDoor,Magic Number,The method contains a magic number: 17,289
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,hasWitherOrBloodDoor,Magic Number,The method contains a magic number: 17,289
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,hasWitherOrBloodDoor,Magic Number,The method contains a magic number: 72,289
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,hasWitherOrBloodDoor,Magic Number,The method contains a magic number: 17,289
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,hasWitherOrBloodDoor,Magic Number,The method contains a magic number: 72,289
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,hasWitherOrBloodDoor,Magic Number,The method contains a magic number: 33,289
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,hasWitherOrBloodDoor,Magic Number,The method contains a magic number: 33,289
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,hasWitherOrBloodDoor,Magic Number,The method contains a magic number: 72,289
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,hasWitherOrBloodDoor,Magic Number,The method contains a magic number: 17,289
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,isWitherOrBloodDoor,Long Statement,The length of the statement "return world.getStatesInBox(Box.enclosing(pos`pos.move(-3`-3`-3))).allMatch(state -> state.isOf(Blocks.COAL_BLOCK) || state.isOf(Blocks.RED_TERRACOTTA));" is 153.,296
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,isWitherOrBloodDoor,Magic Number,The method contains a magic number: 3,296
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,isWitherOrBloodDoor,Magic Number,The method contains a magic number: 3,296
forkassn3,de.hysky.skyblocker.skyblock.dungeon.secrets,DungeonMapUtils,isWitherOrBloodDoor,Magic Number,The method contains a magic number: 3,296
forkassn3,de.hysky.skyblocker.skyblock.dungeon,AcceptRepartyTest,testInvite,Long Statement,The length of the statement "assertGroup("-----------------------------------------------------" + "\n[MVP+] 1wolvesgaming has invited you to join their party!" + "\nYou have 60 seconds to accept. Click here to join!"+ "\n-----------------------------------------------------"`"invite"`"1wolvesgaming");" is 274.,28
forkassn3,de.hysky.skyblocker.skyblock.dungeon,LividColor,init,Complex Conditional,The conditional expression (config.enableLividColorText || config.enableLividColorTitle || config.enableLividColorGlow) && message.getString().equals("[BOSS] Livid: I respect you for making it to here` but I'll be your undoing.") is complex.,50
forkassn3,de.hysky.skyblocker.skyblock.dungeon,LividColor,init,Long Statement,The length of the statement "if ((config.enableLividColorText || config.enableLividColorTitle || config.enableLividColorGlow) && message.getString().equals("[BOSS] Livid: I respect you for making it to here` but I'll be your undoing.")) {" is 209.,50
forkassn3,de.hysky.skyblocker.skyblock.dungeon,LividColor,init,Magic Number,The method contains a magic number: 8,50
forkassn3,de.hysky.skyblocker.skyblock.dungeon,LividColor,update,Complex Conditional,The conditional expression (config.enableLividColorText || config.enableLividColorTitle || config.enableLividColorGlow) && Utils.isInDungeons() && client.world != null is complex.,59
forkassn3,de.hysky.skyblocker.skyblock.dungeon,LividColor,update,Long Statement,The length of the statement "if ((config.enableLividColorText || config.enableLividColorTitle || config.enableLividColorGlow) && Utils.isInDungeons() && client.world != null) {" is 147.,59
forkassn3,de.hysky.skyblocker.skyblock.dungeon,LividColor,update,Magic Number,The method contains a magic number: 5,59
forkassn3,de.hysky.skyblocker.skyblock.dungeon,LividColor,update,Magic Number,The method contains a magic number: 110,59
forkassn3,de.hysky.skyblocker.skyblock.dungeon,LividColor,update,Magic Number,The method contains a magic number: 42,59
forkassn3,de.hysky.skyblocker.skyblock.dungeon,LividColor,onLividColorFound,Long Statement,The length of the statement "MutableText message=Constants.PREFIX.get().append(CONFIG.lividColorText.replaceAll("\\[color]"`colorString)).formatted(LividColor.color);" is 137.,80
forkassn3,de.hysky.skyblocker.skyblock.dungeon,LividColor,onLividColorFound,Magic Number,The method contains a magic number: 5,80
forkassn3,de.hysky.skyblocker.skyblock.dungeon,LividColor,allowGlow,Magic Number,The method contains a magic number: 5,97
forkassn3,de.hysky.skyblocker.skyblock.dungeon,LividColor,getGlowColor,Long Statement,The length of the statement "return LIVID_TO_FORMATTING.containsKey(name) ? LIVID_TO_FORMATTING.get(name).getColorValue() : Formatting.WHITE.getColorValue();" is 128.,105
forkassn3,de.hysky.skyblocker.skyblock.dungeon,Reparty,Reparty,Complex Conditional,The conditional expression !Utils.isOnSkyblock() || this.repartying || client.player == null is complex.,28
forkassn3,de.hysky.skyblocker.skyblock.dungeon,Reparty,Reparty,Long Statement,The length of the statement "super("^(?:You are not currently in a party\\." + "|Party (?:Membe|Moderato)rs(?: \\(([0-9]+)\\)|:( .*))" + "|([\\[A-z+\\]]* )?(?<disband>.*) has disbanded .*"+ "|.*\n([\\[A-z+\\]]* )?(?<invite>.*) has invited you to join their party!"+ "\nYou have 60 seconds to accept. Click here to join!\n.*)$");" is 299.,28
forkassn3,de.hysky.skyblocker.skyblock.dungeon,Reparty,Reparty,Long Statement,The length of the statement "ClientCommandRegistrationCallback.EVENT.register((dispatcher`registryAccess) -> dispatcher.register(ClientCommandManager.literal("rp").executes(context -> {" is 156.,28
forkassn3,de.hysky.skyblocker.skyblock.dungeon,Reparty,state,Long Statement,The length of the statement "return (SkyblockerConfigManager.get().general.acceptReparty || this.repartying) ? ChatFilterResult.FILTER : ChatFilterResult.PASS;" is 130.,44
forkassn3,de.hysky.skyblocker.skyblock.dungeon,Reparty,onMatch,Magic Number,The method contains a magic number: 2,49
forkassn3,de.hysky.skyblocker.skyblock.dungeon,Reparty,onMatch,Magic Number,The method contains a magic number: 2,49
forkassn3,de.hysky.skyblocker.skyblock.dungeon,Reparty,onMatch,Magic Number,The method contains a magic number: 61,49
forkassn3,de.hysky.skyblocker.skyblock.dungeon,Reparty,reparty,Magic Number,The method contains a magic number: 2,77
forkassn3,de.hysky.skyblocker.skyblock.dungeon,Reparty,reparty,Magic Number,The method contains a magic number: 2,77
forkassn3,de.hysky.skyblocker.skyblock.dungeon,OldLever,getShape,Complex Method,Cyclomatic complexity of the method is 8,16
forkassn3,de.hysky.skyblocker.skyblock.dungeon,FireFreezeStaffTimer,onDraw,Magic Number,The method contains a magic number: 5000,23
forkassn3,de.hysky.skyblocker.skyblock.dungeon,FireFreezeStaffTimer,onDraw,Magic Number,The method contains a magic number: 1000,23
forkassn3,de.hysky.skyblocker.skyblock.dungeon,FireFreezeStaffTimer,onDraw,Magic Number,The method contains a magic number: 2,23
forkassn3,de.hysky.skyblocker.skyblock.dungeon,FireFreezeStaffTimer,onDraw,Magic Number,The method contains a magic number: 2,23
forkassn3,de.hysky.skyblocker.skyblock.dungeon,FireFreezeStaffTimer,onDraw,Magic Number,The method contains a magic number: 0xffffff,23
forkassn3,de.hysky.skyblocker.skyblock.dungeon,FireFreezeStaffTimer,onChatMessage,Complex Conditional,The conditional expression !overlay && SkyblockerConfigManager.get().dungeons.theProfessor.fireFreezeStaffTimer && Formatting.strip(text.getString()).equals("[BOSS] The Professor: Oh? You found my Guardians' one weakness?") is complex.,54
forkassn3,de.hysky.skyblocker.skyblock.dungeon,FireFreezeStaffTimer,onChatMessage,Long Statement,The length of the statement "if (!overlay && SkyblockerConfigManager.get().dungeons.theProfessor.fireFreezeStaffTimer && Formatting.strip(text.getString()).equals("[BOSS] The Professor: Oh? You found my Guardians' one weakness?")) {" is 203.,54
forkassn3,de.hysky.skyblocker.skyblock.dungeon,FireFreezeStaffTimer,onChatMessage,Magic Number,The method contains a magic number: 5000L,54
forkassn3,de.hysky.skyblocker.skyblock.dungeon,GuardianHealth,onWorldRender,Complex Conditional,The conditional expression Utils.isInDungeons() && inBoss && client.player != null && client.world != null is complex.,34
forkassn3,de.hysky.skyblocker.skyblock.dungeon,GuardianHealth,onWorldRender,Long Statement,The length of the statement "List<ArmorStandEntity> armorStands=client.world.getEntitiesByType(EntityType.ARMOR_STAND`guardian.getBoundingBox().expand(0`1`0)`GuardianHealth::isGuardianName);" is 161.,34
forkassn3,de.hysky.skyblocker.skyblock.dungeon,GuardianHealth,onWorldRender,Long Statement,The length of the statement "RenderHelper.renderText(context`Text.literal(health + quantity).formatted(Formatting.GREEN)`guardian.getPos()`(float)(1 + (distance / 10))`true);" is 145.,34
forkassn3,de.hysky.skyblocker.skyblock.dungeon,GuardianHealth,onWorldRender,Magic Number,The method contains a magic number: 2,34
forkassn3,de.hysky.skyblocker.skyblock.dungeon,GuardianHealth,onWorldRender,Magic Number,The method contains a magic number: 2,34
forkassn3,de.hysky.skyblocker.skyblock.dungeon,GuardianHealth,onWorldRender,Magic Number,The method contains a magic number: 3,34
forkassn3,de.hysky.skyblocker.skyblock.dungeon,GuardianHealth,onWorldRender,Magic Number,The method contains a magic number: 10,34
forkassn3,de.hysky.skyblocker.skyblock.dungeon,GuardianHealth,onChatMessage,Complex Conditional,The conditional expression Utils.isInDungeons() && SkyblockerConfigManager.get().dungeons.theProfessor.floor3GuardianHealthDisplay && !inBoss is complex.,80
forkassn3,de.hysky.skyblocker.skyblock.dungeon,GuardianHealth,onChatMessage,Long Statement,The length of the statement "if (Utils.isInDungeons() && SkyblockerConfigManager.get().dungeons.theProfessor.floor3GuardianHealthDisplay && !inBoss) {" is 121.,80
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,render,Complex Conditional,The conditional expression Utils.isInDungeons() && DungeonScore.isDungeonStarted() && SkyblockerConfigManager.get().dungeons.dungeonScore.enableScoreHUD is complex.,23
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,render,Long Statement,The length of the statement "if (Utils.isInDungeons() && DungeonScore.isDungeonStarted() && SkyblockerConfigManager.get().dungeons.dungeonScore.enableScoreHUD) {" is 132.,23
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,render,Long Statement,The length of the statement "context.drawTextWithShadow(MinecraftClient.getInstance().textRenderer`getFormattedScoreText()`(int)(x / scale)`(int)(y / scale)`0xFFFFFFFF);" is 140.,31
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,render,Magic Number,The method contains a magic number: 0xFFFFFFFF,31
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,formatScore,Long Statement,The length of the statement "if (score < 100) return Text.literal(String.format("%03d"`score)).withColor(0xDC1A1A).append(Text.literal(" (D)").formatted(Formatting.GRAY)).append(extraSpace);" is 161.,44
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,formatScore,Long Statement,The length of the statement "if (score < 160) return Text.literal(String.format("%03d"`score)).withColor(0x4141FF).append(Text.literal(" (C)").formatted(Formatting.GRAY)).append(extraSpace);" is 161.,44
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,formatScore,Long Statement,The length of the statement "if (score < 230) return Text.literal(String.format("%03d"`score)).withColor(0x7FCC19).append(Text.literal(" (B)").formatted(Formatting.GRAY)).append(extraSpace);" is 161.,44
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,formatScore,Long Statement,The length of the statement "if (score < 270) return Text.literal(String.format("%03d"`score)).withColor(0x7F3FB2).append(Text.literal(" (A)").formatted(Formatting.GRAY)).append(extraSpace);" is 161.,44
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,formatScore,Long Statement,The length of the statement "if (score < 300) return Text.literal(String.format("%03d"`score)).withColor(0xF1E252).append(Text.literal(" (S)").formatted(Formatting.GRAY)).append(extraSpace);" is 161.,44
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,formatScore,Long Statement,The length of the statement "return Text.literal("").append(Text.literal(String.format("%03d"`score)).withColor(0xF1E252).formatted(Formatting.BOLD)).append(Text.literal(" (S+)").formatted(Formatting.GRAY));" is 178.,44
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,formatScore,Magic Number,The method contains a magic number: 100,44
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,formatScore,Magic Number,The method contains a magic number: 0xDC1A1A,44
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,formatScore,Magic Number,The method contains a magic number: 160,44
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,formatScore,Magic Number,The method contains a magic number: 0x4141FF,44
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,formatScore,Magic Number,The method contains a magic number: 230,44
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,formatScore,Magic Number,The method contains a magic number: 0x7FCC19,44
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,formatScore,Magic Number,The method contains a magic number: 270,44
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,formatScore,Magic Number,The method contains a magic number: 0x7F3FB2,44
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,formatScore,Magic Number,The method contains a magic number: 300,44
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,formatScore,Magic Number,The method contains a magic number: 0xF1E252,44
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonScoreHUD,formatScore,Magic Number,The method contains a magic number: 0xF1E252,44
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonMap,init,Long Statement,The length of the statement "ClientCommandRegistrationCallback.EVENT.register((dispatcher`registryAccess) -> dispatcher.register(ClientCommandManager.literal("skyblocker").then(ClientCommandManager.literal("hud").then(ClientCommandManager.literal("dungeon").executes(Scheduler.queueOpenScreenCommand(DungeonMapConfigScreen::new))))));" is 305.,28
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonMap,render,Magic Number,The method contains a magic number: 8,40
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonMap,render,Complex Conditional,The conditional expression Utils.isInDungeons() && DungeonScore.isDungeonStarted() && !DungeonManager.isInBoss()&& SkyblockerConfigManager.get().dungeons.dungeonMap.enableMap is complex.,71
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonMap,render,Long Statement,The length of the statement "if (Utils.isInDungeons() && DungeonScore.isDungeonStarted() && !DungeonManager.isInBoss()&& SkyblockerConfigManager.get().dungeons.dungeonMap.enableMap) {" is 154.,71
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonTextures,init,Long Statement,The length of the statement "ResourceManagerHelper.registerBuiltinResourcePack(Identifier.of(SkyblockerMod.NAMESPACE`"recolored_dungeon_items")`SkyblockerMod.SKYBLOCKER_MOD`ResourcePackActivationType.NORMAL);" is 179.,9
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonMapConfigScreen,render,Long Statement,The length of the statement "context.drawCenteredTextWithShadow(textRenderer`"Right Click To Reset Position"`width >> 1`height >> 1`Color.GRAY.getRGB());" is 124.,30
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonMapConfigScreen,mouseDragged,Long Parameter List,The method has 5 parameters. ,39
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonMapConfigScreen,mouseDragged,Long Statement,The length of the statement "else if (RenderHelper.pointIsInArea(mouseX`mouseY`scoreX`scoreY`scoreX + scoreWidth`scoreY + scoreHeight) && button == 0) {" is 123.,39
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonMapConfigScreen,mouseDragged,Magic Number,The method contains a magic number: 128,39
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonMapConfigScreen,mouseClicked,Long Statement,The length of the statement "scoreX=Math.max((int)((mapX + (64 * SkyblockerConfigManager.get().dungeons.dungeonMap.mapScaling)) - textRenderer.getWidth(DungeonScoreHUD.getFormattedScoreText()) * SkyblockerConfigManager.get().dungeons.dungeonScore.scoreScaling / 2)`0);" is 239.,55
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonMapConfigScreen,mouseClicked,Magic Number,The method contains a magic number: 2,55
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonMapConfigScreen,mouseClicked,Magic Number,The method contains a magic number: 2,55
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonMapConfigScreen,mouseClicked,Magic Number,The method contains a magic number: 64,55
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonMapConfigScreen,mouseClicked,Magic Number,The method contains a magic number: 2,55
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonMapConfigScreen,mouseClicked,Magic Number,The method contains a magic number: 128,55
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonMapConfigScreen,mouseClicked,Magic Number,The method contains a magic number: 4,55
forkassn3,de.hysky.skyblocker.skyblock.dungeon,DungeonMapConfigScreen,renderHUDMap,Magic Number,The method contains a magic number: 128,78
